Date (Beijing Time),ETH/USDT Close Price
2019-05-17,262.11000000
2019-05-18,239.67000000
2019-05-19,235.12000000
2019-05-20,249.43000000
2019-05-21,251.67000000
2019-05-22,258.20000000
2019-05-23,243.13000000
2019-05-24,245.06000000
2019-05-25,248.20000000
2019-05-26,250.96000000
2019-05-27,267.09000000
2019-05-28,269.32000000
2019-05-29,269.10000000
2019-05-30,272.20000000
2019-05-31,255.96000000
2019-06-01,274.72000000
2019-06-02,266.83000000
2019-06-03,266.13000000
2019-06-04,247.74000000
2019-06-05,240.84000000
2019-06-06,244.95000000
2019-06-07,246.73000000
2019-06-08,250.25000000
2019-06-09,240.99000000
2019-06-10,232.90000000
2019-06-11,246.11000000
2019-06-12,242.82000000
2019-06-13,260.84000000
2019-06-14,254.50000000
2019-06-15,262.60000000
2019-06-16,266.51000000
2019-06-17,272.04000000
2019-06-18,271.59000000
2019-06-19,265.84000000
2019-06-20,268.09000000
2019-06-21,273.61000000
2019-06-22,299.01000000
2019-06-23,315.15000000
2019-06-24,304.70000000
2019-06-25,310.68000000
2019-06-26,318.02000000
2019-06-27,341.04000000
2019-06-28,304.78000000
2019-06-29,308.36000000
2019-06-30,323.07000000
2019-07-01,296.94000000
2019-07-02,290.84000000
2019-07-03,295.51000000
2019-07-04,298.59000000
2019-07-05,284.22000000
2019-07-06,293.30000000
2019-07-07,288.22000000
2019-07-08,301.82000000
2019-07-09,309.81000000
2019-07-10,311.35000000
2019-07-11,285.35000000
2019-07-12,272.35000000
2019-07-13,274.01000000
2019-07-14,267.46000000
2019-07-15,211.43000000
2019-07-16,232.48000000
2019-07-17,200.14000000
2019-07-18,208.20000000
2019-07-19,224.69000000
2019-07-20,221.19000000
2019-07-21,228.81000000
2019-07-22,224.69000000
2019-07-23,215.72000000
2019-07-24,205.56000000
2019-07-25,222.52000000
2019-07-26,216.34000000
2019-07-27,222.69000000
2019-07-28,206.35000000
2019-07-29,210.47000000
2019-07-30,210.26000000
2019-07-31,212.36000000
2019-08-01,216.15000000
2019-08-02,216.11000000
2019-08-03,216.87000000
2019-08-04,222.26000000
2019-08-05,226.27000000
2019-08-06,230.89000000
2019-08-07,225.58000000
2019-08-08,225.91000000
2019-08-09,221.04000000
2019-08-10,213.47000000
2019-08-11,210.10000000
2019-08-12,214.45000000
2019-08-13,211.05000000
2019-08-14,208.32000000
2019-08-15,189.53000000
2019-08-16,186.68000000
2019-08-17,184.25000000
2019-08-18,185.39000000
2019-08-19,193.79000000
2019-08-20,200.90000000
2019-08-21,194.18000000
2019-08-22,187.10000000
2019-08-23,191.37000000
2019-08-24,193.03000000
2019-08-25,189.91000000
2019-08-26,192.77000000
2019-08-27,188.49000000
2019-08-28,186.21000000
2019-08-29,172.96000000
2019-08-30,167.53000000
2019-08-31,168.64000000
